Line Number,"Holdings Barcode","Call Number","Title","Author's Name","Copyright","Publication Date","Series Title","Series Volume"
1,"B000392","","2nd Chance","","","","",""
2,"B000384","","3rd Degree","","c2005.","2005.","",""
3,"B000390","","The 5th Horseman - Womens Murder Club 5","","","","",""
4,"B000556","","The 5th Horseman - Womens Murder Club 5","","","","",""
5,"B000381","","The 6th Target - Womens Murder Club 6","","c2010-01-01.","2010-01-01.","",""
6,"B000259","","American Blood","","c2015.","2015.","",""
7,"B000303","","The Assassin's Blade: The Throne of Glass Prequel Novellas","","c2015.","2015.","",""
8,"B000402","","The blessing Stone","","c2003.","2003","",""
9,"B000173","","Bonji Yagkanatu (Paperback)","","c2024.","2024.","",""
10,"B000249","","The Chosen One (Paperback)","","c2022.","2022.","",""
11,"B000283","","The Company of Fiends : Tempting Monsters Book Two","","c2022.","2022.","",""
12,"B000255","","Get of the Unicorn","","","","",""
13,"B000433","","The Great Core's Paradox (Paperback)","","c2022.","2022.","",""
14,"B000250","","The Great Core's Paradox 2 (Paperback)","","c2023.","2023.","",""
15,"B000513","","Hamilton Robb","","c2018.","2018.","",""
16,"B000358","","Love, Pamela (SIGNED FIRST PRINTING)","","c2023.","2023.","",""
17,"B000252","","The Murder House","","c2016.","2016.","",""
18,"B000284","","Sanctuary with Kings (Tempting Monsters, Band 3)","","c2023.","2023.","",""
19,"B000516","","Season of the Vigilante, Book One : The Bloody Season (Season of the Vigilante)","","c1., c2000.","August.","",""
20,"B000349","","Shadowcroft Academy For Dungeons","","c2021.","2021.","",""
21,"B000347","","Shadowcroft Academy For Dungeons (Paperback)","","c2021.","2021.","",""
22,"B000515","","Terry of The Double C","","c2019.","2019.","",""
23,"B000476","","XXX A new Breed of secret Agent","","c2002.","2002","",""
24,"B000479","","XXX A new Breed of secret Agent","","c2002.","2002","",""
25,"B000365","","Construction Technology : trainee guide","(U.S.), National Center for Construction Education and Research (NCCER)","c2009.","2009.","",""
26,"B000233","","Legion : Secrets and lies","Abnett, Dan","c., c2008.","31.","",""
27,"B000435","","Things Fall Apart","Achebe, Chinua","c2017.","2017.","",""
28,"B000047","","Noragami : stray god, Vol. 4","Adachi, Toka","c2015.","2015.","Noragami: Stray God","4"
29,"B000143","","Noragami: Stray God 1","Adachi, Toka","c2014.","2014.","Noragami: Stray God","01"
30,"B000062","","Noragami : stray god, Vol. 2","Adachitoka","c2014.","2014.","Noragami: Stray God","2"
31,"B000063","","Noragami : stray god, Vol. 3","Adachitoka","c2014.","2014.","Noragami: Stray God","3"
32,"B000217","","Last Chance to See","Adams, Douglas","c1992-09.","1992-09.","",""
33,"B000471","","Death March to the Parallel World Rhapsody 6","Ainana, Hiro","c2018-09-18.","2018-09-18.","",""
34,"B000470","","Death March to the Parallel World Rhapsody 7","Ainana, Hiro","c2019-01-22.","2019-01-22.","",""
35,"B000469","","Death March to the Parallel World Rhapsody 9","Ainana, Hiro","c2019-09-24.","2019-09-24.","",""
36,"B000468","","Death March to the Parallel World Rhapsody 10","Ainana, Hiro","c2020-01-21.","2020-01-21.","",""
37,"B000331","","Chicano art inside/outside the master's house : cultural politics and the CARA exhibition","Alba, Alicia Gaspar de","c1998.","1998.","",""
38,"B000304","","The Lone Ranger and Tonto Fistfight in Heaven (20th Anniversary Edition)","Alexie, Sherman","c08., c2013.","Oct.","",""
39,"B000308","","The House of the Spirits : A Novel","Allende, Isabel","c15., c2015.","Dec.","",""
40,"B000001","","Scars Volume 1","Arias, Brandon","c2024.","2024-11-19 .","Scars","1"
41,"B000017","","Show-Ha Shoten!, Vol. 7","Asakura, Akinari","c2025.","2025.","Show-Ha Shoten!","7"
42,"B000021","","Show-ha Shoten!, Vol. 5 (Paperback)","Asakura, Akinari and Obata, Takeshi","c2024.","2024.","Show-Ha Shoten!","5"
43,"B000022","","Show-ha Shoten!, Vol. 6 (Paperback)","Asakura, Akinari; Obata, Takeshi","c2025.","2025.","Show-Ha Shoten!","6"
44,"B000045","","Mujina into the Deep, Vol. 1","Asano, Inio","c2025.","2025.","Mujina Into the Deep","1"
45,"B000043","","Nijigahara Holograph","Asano, Inio","c2014.","2014.","",""
46,"B000070","","Solanin","Asano, Inio","c2008.","2008.","",""
47,"B000326","","Unseen Forces : A Guide for the Truly Attentive - the Search for a New Approach to Observing and Interpreting the World of Physical Phenomena","B01, Kenyon","c2016.","2016.","",""
48,"B000092","","So I'm a Spider, So What?, Vol. 7","Baba, Okina; Kiryu, Tsukasa; McKeon, Jenny","c2019.","2019.","So I'm a spider, so what?","07"
49,"B000256","","Carnage","Bailey, Sarah","c16., c2021.","Jul.","",""
50,"B000317","","6 : 20 Man : A Thriller","Baldacci, David","c2023.","2023.","",""
51,"B000272","","Crooked Kingdom","Bardugo, Leigh","c2018.","2018.","",""
52,"B000353","","Science of evil : on empathy and the origins of cruelty","Baron-Cohen, Simon","c2012.","2012.","",""
53,"B000211","","Codependent no more : how to stop controlling others and start caring for yourself","Beattie, Melody","c1987.","1987.","",""
54,"B000363","","Nothin' but a Good Time : The Uncensored History of the '80s Hard Rock Explosion","Beaujour, Tom","c2021.","2021.","",""
55,"B000422","","Fantastic Four : Island of Death","Beland, Tom","c2013.","2013.","",""
56,"B000264","","Introductory foods","Bennion, Marion","c1980.","1980.","",""
57,"B000410","","Performance Pilot : Skills, Techniques, and Strategies to Maximize Your Flying Performance","Bentley, Ross","c06., c2017.","Jul.","",""
58,"B000430","","The Developing Person Through the Life Span","Berger, Kathleen Stassen","c2019., c23.","Dec.","",""
59,"B000419","","Represent yourself in court : how to prepare and try a winning case","Bergman, Paul","c2003.","2003.","",""
60,"B000352","","Frommer's South America","Blore, Shawn","c15., c2002.","June.","",""
61,"B000423","","Understanding the Linux Kernel","Bovet, Daniel P.","c17., c2005.","November.","",""
62,"B000333","","Tommyland","Bozza, Anthony","c13., c2005.","September.","",""
63,"B000475","","Coping with difficult people","Bramson, Robert M.","c1988.","1988.","",""
64,"B000187","","The best pirate stories ever told","Brennan, Stephen Vincent","c2011.","2011.","",""
65,"B000235","","Terry Pratchett's Maskerade","Briggs, Stephen","c1998.","1998.","",""
66,"B000334","","The Boys in the Boat","Brown, Daniel James","c2014.","2014.","",""
67,"B000198","","Amanecer rojo","Brown, Pierce","c2014.","2014.","",""
68,"B000535","","Morning Star","Brown, Pierce","c2016.","2016.","",""
69,"B000220","","Red Rising","Brown, Pierce","c2014.","2014.","",""
70,"B000490","","Red Rising","Brown, Pierce","c2014.","2014.","",""
71,"B000251","","And the Sea Will Tell","Bugliosi, Vincent","c2006., c27.","March.","",""
72,"B000226","","The Hallowed Hunt","Bujold, Lois McMaster","c2006., c30.","May.","",""
73,"B000525","","The Hallowed Hunt","Bujold, Lois McMaster","c2006., c30.","May.","",""
74,"B000227","","Paladin of souls","Bujold, Lois McMaster","c2005.","2005.","",""
75,"B000526","","Furies of Calderon (Codex Alera) : Book one of the Codex Alera.","Butcher, Jim","c2005., c28.","June.","",""
76,"B000528","","Peace Talks","Butcher, Jim","c14., c2020.","Jul.","",""
77,"B000485","","Dr. Atkins' age-defying diet","C., Atkins, Robert","c2001.","2001.","",""
78,"B000348","","Ise Business Foundations : a Changing World","C., FerrellO.","c2019.","2019.","",""
79,"B000286","","The Extraterrestrial Species Almanac : The Ultimate Guide to Greys, Reptilians, Hybrids, and Nordics","Campobasso, Craig","c01., c2021.","Jan.","",""
80,"B000339","","Mexican Art and Architecture (Mexico: Our Southern Neighbor)","Carew-Miller, Anna","c2002.","February.","",""
81,"B000274","","A little book of cherished poems : beautiful poetry to treasure","Carson, Kay Anne","c2000.","2000.","",""
82,"B000216","","Does It Fart? : The Definitive Field Guide to Animal Flatulence","Caruso, Nick","c2018.","2018.","",""
83,"B000189","","Betrayed : A House of Night Novel (Book 2)","Cast, P. C.","c2., c2007.","October.","",""
84,"B000194","","Burned","Cast, P. C.","c2011.","2011.","",""
85,"B000190","","Chosen","Cast, P. C.","c2008., c4.","March.","",""
86,"B000191","","Hunted","Cast, P. C.","c2010.","2010.","",""
87,"B000188","","Marked","Cast, P. C.","c2007.","2007.","",""
88,"B000193","","Tempted","Cast, P. C.","c10., c2011.","May.","",""
89,"B000192","","Untamed","Cast, P. C.","c2008.","2008.","",""
90,"B000372","","The Mexican Americans","Catalano, Julie","c1996.","1996.","",""
91,"B000405","","The Amazing Adventures of Kavalier & Clay","Chabon, Michael","c2000.","2000.","",""
92,"B000389","","The Perks of Being a Wallflower","Chbosky, Stephen","c2002.","2002.","",""
93,"B000160","","Don't Look Back : A Haunting Mystery Perfect for the Long, Dark Nights","Cheetham, Ben","c2018.","2018.","Fenton House","1"
94,"B000287","","Falling angels","Chevalier, Tracy","c2002.","2002.","",""
95,"B000492","","61 hours","Child, Lee","c2010.","2010.","",""
96,"B000276","","The Secret : A Jack Reacher Novel","Child, Lee","c2023., c24.","Oct.","",""
97,"B000456","","If It's for My Daughter, I'd Even Defeat a demon lord","CHIROLU","c2017.","2017.","",""
98,"B000455","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 2","CHIROLU","c02., c2019.","Apr.","",""
99,"B000454","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 3","CHIROLU","c04., c2019.","Jun.","",""
100,"B000453","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 4","CHIROLU","c2019.","2019.","",""
101,"B000452","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 5","CHIROLU","c2019.","2019.","",""
102,"B000451","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 6 : Volume 6","CHIROLU","c2019.","2019.","",""
103,"B000450","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 7","CHIROLU","c04., c2020.","Feb.","",""
104,"B000449","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 8 : Volume 8","CHIROLU","c2020.","2020.","",""
105,"B000448","","If It's for My Daughter, I'd Even Defeat a Demon Lord : Volume 9","CHIROLU","c07., c2020.","Jul.","",""
106,"B000438","","Loose Woman : Poems","Cisneros, Sandra","c14., c1995.","March.","",""
107,"B000431","","My wicked, wicked ways","Cisneros, Sandra","c1992.","1992.","",""
108,"B000524","","City of Glass","Clare, Cassandra","c14., c2009.","Jul.","",""
109,"B000563","","Water Dancer : A Novel","Coates, Ta-Nehisi","c2020.","2020.","",""
110,"B000533","","Deal Breaker","Coben, Harlan","c2014.","2014.","",""
111,"B000155","","The Alchemist: A Modern Classic of Magic and Mysticism","Coelho, Paulo","c2014.","2014.","",""
112,"B000209","","The concrete blonde","Connelly, Michael","c2013.","2013.","",""
113,"B000527","","The Crossing","Connelly, Michael","c2015.","2015.","",""
114,"B000484","","The fifth witness : a novel","Connelly, Michael","c2011.","2011.","",""
115,"B000236","","The Law of Innocence","Connelly, Michael","c2021., c27.","Apr.","",""
116,"B000243","","Trunk music","Connelly, Michael","c2013.","2013.","",""
117,"B000207","","Two Kinds of Truth","Connelly, Michael","c01., c2018.","May.","",""
118,"B000489","","Babylon's Ashes (The Expanse)","Corey, James S. A.","c2017., c24.","Oct.","",""
119,"B000487","","Cibola Burn (The Expanse)","Corey, James S. A.","c05., c2015.","May.","",""
120,"B000319","","The Mercy of Gods","Corey, James S. A.","c2024.","2024.","",""
121,"B000488","","Nemesis Games","Corey, James S. A.","c10., c2016.","May.","",""
122,"B000531","","The Empty Throne : A Novel","Cornwell, Bernard","c05., c2016.","Jan.","",""
123,"B000532","","The Last Kindom","Cornwell, Bernard","c2005.","2005.","",""
124,"B000530","","The Lords of the North (Alfred the Great 3)","Cornwell, Bernard","c2007.","2007.","",""
125,"B000529","","Pale Horseman","Cornwell, Bernard","c2006., c22.","May.","",""
126,"B000321","","Eruption","Crichton, Michael","c2024.","2024.","",""
127,"B000537","","Rising sun : a novel","Crichton, Michael","c1992.","1992.","",""
128,"B000383","","State of Fear : A Novel","Crichton, Michael","c2005-11.","2005-11.","",""
129,"B000324","","Clive Cussler's the Devil's Sea","Cussler, Clive","c2022.","2022.","",""
130,"B000281","","Nightman : A Paul and Sarah Manhart Cryptozoological Adventure","Danelek, J. Allan","c2013.","2013.","",""
131,"B000429","","Contemporary Business Mathematics for Colleges","Deitz, James E.","c2015.","2015.","",""
132,"B000395","","Forbidden                            Books of Mortals","Dekker, Ted","c2012.","2012.","",""
133,"B000282","","A Lady of Rooksgrave Manor : Tempting Monsters Book One","Designs, Jodielocks","c2021.","2021.","",""
134,"B000279","","Guns, germs, and steel","Diamond, Jared","c1999.","1999.","",""
135,"B000464","","How a Realist Hero Rebuilt the Kingdom  Vol. 1","Dojyomaru","c11., c2018.","Sep.","",""
136,"B000463","","How a Realist Hero Rebuilt the Kingdom  Vol. 3","Dojyomaru","c2019., c28.","May.","",""
137,"B000460","","How a Realist Hero Rebuilt the Kingdom  Vol. 4","Dojyomaru","c17., c2019.","Sep.","",""
138,"B000462","","How a Realist Hero Rebuilt the Kingdom  Vol. 11","Dojyomaru","c13., c2021.","Apr.","",""
139,"B000459","","How a Realist Hero Rebuilt the Kingdom (Light Novel) Vol. 12","Dojyomaru","c2021.","2021.","",""
140,"B000458","","How a Realist Hero Rebuilt the Kingdom (Light Novel) Vol. 13","Dojyomaru","c2021.","2021.","",""
141,"B000461","","How a Realist Hero Rebuilt the Kingdom Vol. 10","Dojyomaru","c2021.","2021.","",""
142,"B000428","","The dynamics of mass communication : media in transition","Dominick, Joseph R.","c2012.","2012.","",""
143,"B000562","","Prison Saved My Life","Dooley, Louis","c2022.","2022.","",""
144,"B000407","","My Soul to Keep","Due, Tananarive","c1997.","1997.","",""
145,"B000418","","Auto Body Repair Technology","Duffy, James E.","c2008., c28.","January.","",""
146,"B000318","","Never home alone : from microbes to millipedes, camel crickets, and honeybees, the natural history of where we live","Dunn, Rob R.","c2018.","2018.","",""
147,"B000357","","The secret language of dogs : the body language of furry bodies","Dunphy, Heather","c2011.","2011.","",""
148,"B000486","","Protein power","Eades, Michael R","c1998.","1998.","",""
149,"B000295","","Prague Cemetery","Eco, Umberto","c2012.","2012.","",""
150,"B000306","","Semiotics and the philosophy of language","Eco, Umberto","","","",""
151,"B000305","","Theory of Semiotics (Advances in Semiotics)","Eco, Umberto","c1979.","February.","",""
152,"B000411","","Reading in the Content Areas : Mathematics (Reading in the Content Areas)","Education, McGraw-Hill - Jamestown","c16., c2004.","January.","",""
153,"B000265","","The Throne of the Five Winds","Emmett, S. C.","c15., c2019.","Oct.","",""
154,"B000042","","Spy x Family, Vol. 2","Endo, Tatsuya","c2020--01.","2020-Sep-01.","Spy x Family","2"
155,"B000213","","Plague of Doves","Erdrich, Louise","c2013.","2013.","",""
156,"B000553","","Gardens of the moon : book one of the Malazan book of the fallen","Erikson, Steven","c2005.","2005.","",""
157,"B000278","","Midnight tides : a tale of the Malazan book of the fallen","Erikson, Steven","c2006.","2006.","",""
158,"B000561","","The life we bury","Eskens, Allen","c2014.","2014.","",""
159,"B000228","","Fortune and Glory : A Novel","Evanovich, Janet","c04., c2021.","May.","",""
160,"B000538","","Look Alive Twenty-Five : A Stephanie Plum Novel","Evanovich, Janet","c03., c2019.","Sep.","",""
161,"B000483","","Kingdom Man : Every Man's Destiny, Every Woman's Dream","Evans, Tony","c2012-03-13.","2012-03-13.","",""
162,"B000425","","LooseLeaf for College Accounting : a Contemporary Approach","Farina, Michael","c2016.","2016.","",""
163,"B000316","","Rage of a demon king","Feist, Raymond E.","c1998.","1998.","",""
164,"B000315","","Rides a dread legion","Feist, Raymond E.","c2009.","2009.","",""
165,"B000565","","Sharp Objects","Flynn, Gillian","c2012.","2012.","",""
166,"B000534","","American Assassin","Flynn, Vince","c2011.","2011.","",""
167,"B000540","","Edge of Eternity : Book Three of the Century Trilogy","Follett, Ken","c01., c2015.","Sep.","",""
168,"B000229","","Never : A Novel","Follett, Ken","c07., c2022.","Jun.","",""
169,"B000408","","Arena","Forstchen, William R.","c1994.","1994.","",""
170,"B000275","","Toxic Parents : Overcoming Their Hurtful Legacy and Reclaiming Your Life","Forward, Susan","c2., c2002.","January.","",""
171,"B000340","","All I really need to know I learned in kindergarten : uncommon thoughts on common things","Fulghum, Robert","c1988.","1988.","",""
172,"B000154","","Haikyu!! (3-In-1 Edition), Vol. 1-2-3","Furudate, Haruichi","c2024.","2024.","Haikyu!!","1-2-3"
173,"B000059","","Haikyu!! (3-in-1 Edition), Vol. 2 (Paperback) 4-5-6","Furudate, Haruichi","c2024.","2024.","Haikyu!!","4-5-6"
174,"B000061","","Haikyu!! (3-in-1 Edition), Vol. 3 (Paperback) 7-8-9","Furudate, Haruichi","c2025.","2025.","Haikyu!!","7-8-9"
175,"B000058","","Haikyu!! , Vol. 4 : Includes Vols. 10, 11 And 12","Furudate, Haruichi","c2025.","2025.","Haikyu!!","10-11-12"
176,"B000234","","Stardust","Gaiman, Neil","c2001.","2001.","",""
177,"B000150","","Boys Run the Riot 1","Gaku, Keito","c2021.","2021.","Boys Run the Riot","01"
178,"B000051","","Barefoot Gen Vol. 7 : Bones into Dust","Gen, Project","c2009.","2009.","Barefoot Gen","7"
179,"B000400","","The sixties : years of hope, days of rage","Gitlin, Todd","c1987.","1987.","",""
180,"B000330","","La magia y tu","Gonzalez-Wippler, Migene","c1., c2002.","September.","",""
181,"B000379","","Faith of the Fallen (Sword of Truth, Book 6)","Goodkind, Terry","c15., c2001.","November.","",""
182,"B000129","","Asterix Omnibus #2 : Collects Asterix the Gladiator, Asterix and the Banquet, and Asterix and Cleopatra","Goscinny, René; Uderzo, Albert","c2020.","2020.","Asterix Omnibus","2"
183,"B000325","","Maybe you should talk to someone : a therapist, her therapist, and our lives revealed","Gottlieb, Lori","c2019.","2019.","",""
184,"B000355","","Ultimate Service Dog Training Manual : A Complete Reference to Choosing, Raising, Socializing, Equipping, and Retiring Your Dog","Grace, Keagen J.","c2020.","2020.","",""
185,"B000394","","Tom Clancy Commander in Chief","Greaney, Mark","c2016.","2016.","",""
186,"B000311","","Orient express : an entertainment","Greene, Graham","c2004.","2004.","",""
187,"B000436","","The 22 non-negotiable laws of wellness : feel, think, and live better than you ever thought possible","Greg, Anderson,","c1995.","1995.","",""
188,"B000511","","Zane Grey Box Set : Four Western Classics Mass Merch Only","Grey, Zane","c2015.","2015.","",""
189,"B000262","","Camino Ghosts","Grisham, John","c2024.","2024.","",""
190,"B000280","","Camino Winds : A Novel","Grisham, John","c2021., c23.","Feb.","",""
191,"B000541","","The Pelican Brief","Grisham, John","c2003-04.","2003-04.","",""
192,"B000140","","The Bright Sword: A Novel of King Arthur","Grossman, Lev","c2024.","2024.","",""
193,"B000522","","He Did This Just for You","Group, W Publishing","c2005., c3.","February.","",""
194,"B000354","","Service Dog Training Guide : A Step-By-Step Training Program for You and Your Dog","Hack, Jennifer","c2020.","2020.","",""
195,"B000245","","Salvation","Hamilton, Peter F.","c2019.","2019.","",""
196,"B000322","","Salvation Lost","Hamilton, Peter F.","c2019.","2019.","",""
197,"B000040","","The Quintessential Quintuplets 1","Haruba, Negi","c2018.","2018.","The Quintessential Quintuplets","1"
198,"B000426","","Small Business Management : Creating a Sustainable Competitive Advantage","Hatten, Timothy S.","c2019.","2019.","",""
199,"B000309","","For Whom the Bell Tolls","Hemingway, Ernest","c1995.","1995.","",""
200,"B000172","","The old man and the sea","Hemingway, Ernest","c1995.","1995.","",""
201,"B000174","","The old man and the sea","Hemingway, Ernest","c1995.","1995.","",""
202,"B000212","","The Talented Mr. Ripley","Highsmith, Patricia","c2008.","2008.","",""
203,"B000290","","Churchill's Secret Messenger","Hlad, Alan","c2021., c27.","Apr.","",""
204,"B000008","","My Hero Academia, Vol. 34","Horikoshi, Kohei","c2023.","2023.","My Hero Academia","34"
205,"B000009","","My Hero Academia, Vol. 35","Horikoshi, Kohei","c2023.","2023.","My Hero Academia","35"
206,"B000010","","My Hero Academia, Vol. 36","Horikoshi, Kohei","c2023.","2023.","My Hero Academia","36"
207,"B000011","","My Hero Academia, Vol. 37","Horikoshi, Kohei","c2024.","2024.","My Hero Academia","37"
208,"B000012","","My Hero Academia, Vol. 38","Horikoshi, Kohei","c2024.","2024.","My Hero Academia","38"
209,"B000013","","My Hero Academia, Vol. 39","Horikoshi, Kohei","c2024.","2024.","My Hero Academia","39"
210,"B000014","","My Hero Academia, Vol. 40","Horikoshi, Kohei","c2025.","2025.","My Hero Academia","40"
211,"B000035","","My Room is a Dungeon Rest Stop  Vol. 1","Hudou, Tougoku","c2020.","2020.","My Room is a Dungeon Rest Stop","1"
212,"B000036","","My Room is a Dungeon Rest Stop  Vol. 2","Hudou, Tougoku","c2020.","2020.","My Room is a Dungeon Rest Stop","2"
213,"B000037","","My Room is a Dungeon Rest Stop  Vol. 3","Hudou, Tougoku","c2020.","2020.","My Room is a Dungeon Rest Stop","3"
214,"B000038","","My Room is a Dungeon Rest Stop  Vol. 4","Hudou, Tougoku","c2021.","2021.","My Room is a Dungeon Rest Stop","4"
215,"B000039","","My Room Is a Dungeon Rest Stop (Manga) Vol. 5","Hudou, Tougoku","c2021.","2021.","My Room is a Dungeon Rest Stop","5"
216,"B000552","","Expert Card Technique : Close-Up Table Magic","Hugard, Jean","c1., c1974.","June.","",""
217,"B000336","","Hispanics in the American West","Iber, Jorge","c2005.","2005.","",""
218,"B000296","","Everything you need to know but have never been told","Icke, David","c2017.","2017.","",""
219,"B000145","","Thunder 3 Volume 1","Ikeda, Yuki","c2024.","2024.","Thunder 3","01"
220,"B000134","","Thunder 3 Volume 2","Ikeda, Yuki","c2025.","2025.","Thunder 3","02"
221,"B000135","","Thunder 3 Volume 3","Ikeda, Yuki","c2025.","2025.","Thunder 3","3"
222,"B000133","","Thunder 3 Volume 4","Ikeda, Yuki","c2025.","2025.","Thunder 3","4"
223,"B000493","","Left to Tell : Discovering God Amidst the Rwandan Holocaust","Ilibagiza, Immaculee","c2006.","2006.","",""
224,"B000559","","Fish","Inc, World Book,","c2009.","2009.","",""
225,"B000560","","Mollusks and similar sea creatures.","Inc, World Book,","c2009.","2009.","",""
226,"B000146","","Attack On Titan 1","Isayama, Hajime","c2012.","2012.","Attack on Titan","01"
